"case","biden_therm","trump_therm","age","race6","income","lostjob","econperc","pid7","abortion","female","religion"
200763,50,30,54,1,19,0,0.25,3,4,"not_female","Roman Catholic"
200770,40,15,38,1,13,0,0.25,1,7,"female","Not religious"
200787,100,0,80,1,10,1,0.25,0,7,"not_female","Roman Catholic"
200794,85,0,37,6,15,1,0,1,7,"female","Not religious"
200800,40,15,38,1,22,1,0.5,2,7,"not_female","Roman Catholic"
200817,100,0,60,1,11,0,0,4,4,"not_female","Evangelical Protestant"
200824,100,0,46,6,14,0,0,2,4,"not_female","Other Christian"
200831,15,0,78,1,17,1,0,0,7,"female","Not religious"
200855,72,0,39,1,16,0,0,0,6,"female","Other religion"
200862,70,0,33,2,11,1,0.25,1,7,"female","Evangelical Protestant"
200879,100,0,74,1,1,0,0.5,0,6,"female","Other religion"
200886,85,0,61,1,10,0,0.25,1,6,"female","Roman Catholic"
200893,100,0,67,1,6,1,0.5,0,7,"female","Mainline Protestant"
200909,NA,NA,60,1,13,0,0.5,1,6,"female","Mainline Protestant"
200916,15,85,NA,1,17,0,1,6,6,"not_female","Roman Catholic"
200947,40,15,21,2,6,1,0.5,3,6,"not_female","Other Christian"
200954,100,0,49,2,1,1,0,0,7,"female","Roman Catholic"
200985,85,0,80,1,16,0,0,0,7,"not_female","Other Christian"
201001,0,70,70,1,6,1,1,4,2,"not_female","Jewish"
201025,100,0,70,1,6,1,0.25,0,4,"female","Mainline Protestant"
201032,30,30,72,1,18,0,0.75,4,2,"not_female","Mainline Protestant"
201063,0,100,78,1,10,0,0.5,6,1,"female","Evangelical Protestant"
201070,70,0,43,1,10,0,0,0,4,"female","Other Christian"
201087,85,30,45,2,3,1,0,3,4,"female","Evangelical Protestant"
201094,70,0,44,1,21,1,0,1,4,"female","Evangelical Protestant"
201100,100,0,50,3,6,1,0,0,7,"female","Other Christian"
201117,85,0,NA,1,NA,0,0.25,3,5,"female","Not religious"
201124,85,0,33,1,15,0,0,2,7,"female","Roman Catholic"
201131,0,100,55,1,14,0,0.75,6,4,"female","Roman Catholic"
201155,30,60,28,1,20,1,0.25,5,5,"female","Mainline Protestant"
201179,15,85,34,1,22,0,0.5,6,6,"female","Mainline Protestant"
201186,0,85,24,1,20,1,1,6,2,"female","Not religious"
201193,0,100,26,1,2,1,0.75,6,2,"female","Evangelical Protestant"
201209,70,0,75,1,7,1,0.25,0,6,"not_female","Mainline Protestant"
201216,30,60,61,5,13,1,0,3,6,"not_female","Not religious"
201223,40,100,80,1,22,0,0.25,6,6,"female","Evangelical Protestant"
201230,70,0,58,1,18,1,0,2,7,"not_female","Not religious"
201247,100,0,50,3,12,1,0,1,7,"female","Roman Catholic"
201254,100,0,76,1,6,1,0.5,0,7,"female","Undifferentiated Protestant"
201261,60,30,80,1,9,0,0.25,3,6,"female","Mainline Protestant"
201278,100,0,48,6,1,0,0.5,0,7,"female","Jewish"
201285,60,15,61,1,17,0,0,3,7,"female","Roman Catholic"
201292,70,0,45,1,17,0,0,0,7,"female","Not religious"
201322,NA,85,37,1,7,0,0.25,6,1,"female","Other Christian"
201339,0,85,36,1,17,0,1,6,1,"not_female","Evangelical Protestant"
201346,100,0,80,1,3,0,0,0,7,"female","Roman Catholic"
201353,0,100,66,1,4,0,1,6,1,"female","Evangelical Protestant"
201360,NA,85,80,1,10,0,0.5,4,7,"female","Roman Catholic"
201377,40,65,66,5,19,0,0.25,4,4,"not_female","Evangelical Protestant"
201384,85,0,60,1,17,0,0.5,5,7,"female","Mainline Protestant"
201391,0,100,34,1,19,0,1,6,1,"not_female","Roman Catholic"
201407,15,100,80,4,22,0,0.75,6,4,"not_female","Not religious"
201421,40,70,71,1,14,1,1,1,2,"not_female","Roman Catholic"
201438,15,100,72,1,6,1,0.25,6,4,"not_female","Mainline Protestant"
201445,15,70,57,1,8,1,0.5,5,4,"not_female","Roman Catholic"
201469,50,85,36,3,17,0,0,6,6,"female","Roman Catholic"
201476,100,0,61,2,16,1,0.5,0,7,"female","Evangelical Protestant"
201506,0,100,58,5,1,0,0.5,6,4,"not_female","Roman Catholic"
201513,60,0,30,2,17,1,0.25,2,4,"not_female","Not religious"
201520,0,85,80,1,17,0,1,5,4,"not_female","Mainline Protestant"
201537,15,100,NA,NA,NA,0,0.5,6,1,"not_female",NA
201544,NA,NA,72,3,5,1,0,0,7,"not_female","Roman Catholic"
201551,100,50,38,3,1,1,1,0,7,"not_female","Evangelical Protestant"
201568,15,80,60,1,5,0,0,5,4,"not_female","Roman Catholic"
201575,50,70,52,2,4,0,0.5,3,6,"female","Mainline Protestant"
201599,60,50,40,1,8,1,0,3,5,"female","Evangelical Protestant"
201605,65,0,23,1,7,1,0,0,7,"female","Roman Catholic"
201629,0,100,54,1,19,0,0.5,6,4,"not_female","Evangelical Protestant"
201636,100,0,70,1,16,0,0,0,7,"female","Mainline Protestant"
201650,60,0,23,3,5,1,0,3,6,"female","Not religious"
201674,85,0,66,2,21,0,1,2,7,"not_female","Not religious"
201681,20,95,60,1,19,0,0.25,6,2,"not_female","Roman Catholic"
201711,40,100,50,1,17,0,0.75,4,2,"female","Roman Catholic"
201728,0,90,62,1,20,0,0.5,6,4,"not_female","Roman Catholic"
201759,60,0,37,1,17,0,0,3,7,"female","Not religious"
201766,0,100,73,1,6,1,1,3,4,"female","Other Christian"
201773,50,0,52,1,20,1,0.25,5,4,"not_female","Other Christian"
201780,0,100,76,1,3,0,0.25,6,1,"female","Undifferentiated Protestant"
201797,40,0,73,1,2,1,0,3,4,"not_female","Other Christian"
201803,50,30,42,1,21,0,0,2,7,"female","Not religious"
201810,0,100,67,1,4,0,0.25,3,4,"not_female","Roman Catholic"
201827,85,50,64,1,15,0,0.5,0,6,"not_female","Not religious"
201834,0,70,55,1,15,1,1,1,7,"female","Roman Catholic"
201841,60,0,29,2,11,1,0,2,7,"female","Not religious"
201858,100,0,34,2,8,0,0,0,4,"female","Other Christian"
201865,70,0,45,1,20,1,0,2,4,"female","Not religious"
201872,85,0,40,5,22,1,0,1,7,"not_female","Other Christian"
201889,15,70,28,1,3,1,0.5,4,1,"not_female","Other Christian"
201896,75,10,49,3,20,0,0.25,1,6,"not_female","Roman Catholic"
201902,100,0,37,1,18,1,0,0,7,"not_female","Mainline Protestant"
201919,40,100,80,1,19,0,0.5,6,2,"female","Mainline Protestant"
201926,50,0,55,4,13,0,0,1,6,"female","Roman Catholic"
201971,40,NA,80,1,5,0,0.25,5,5,"female","Evangelical Protestant"
201988,85,0,63,6,17,0,0,0,4,"female","Evangelical Protestant"
201995,30,70,66,1,8,1,0.25,4,1,"female","Evangelical Protestant"
202004,50,60,55,1,8,0,0.25,5,4,"not_female","Mainline Protestant"
202011,0,90,65,1,18,0,0.5,5,2,"not_female","Other Christian"
202042,85,0,69,1,14,0,0.5,0,7,"female","Not religious"
202097,50,85,70,1,3,1,0,6,1,"female","Undifferentiated Protestant"
202103,0,100,64,1,13,0,0.5,6,4,"not_female","Roman Catholic"
202127,0,100,62,1,18,0,0.25,6,2,"not_female","Evangelical Protestant"
202141,0,85,50,1,21,0,0.75,5,2,"not_female","Jewish"
202172,NA,30,46,2,1,0,0.5,0,5,"female","Other religion"
202189,100,0,67,6,15,0,0,0,7,"female","Evangelical Protestant"
202196,90,0,43,1,2,0,0.25,0,7,"female","Not religious"
202202,60,0,30,1,7,1,0,2,7,"not_female","Other religion"
202257,0,90,80,1,13,0,0.75,6,4,"not_female","Mainline Protestant"
202271,100,20,58,1,4,0,0.25,0,7,"female","Evangelical Protestant"
202288,0,70,29,1,18,0,1,3,4,"not_female","Not religious"
202301,85,0,71,1,3,0,0.5,0,4,"not_female","Roman Catholic"
202318,30,60,69,1,17,1,0.25,6,4,"not_female","Other Christian"
202325,85,0,80,1,22,1,0,0,7,"not_female","Jewish"
202332,70,0,28,1,20,1,0,1,6,"not_female","Roman Catholic"
202356,85,0,22,3,1,1,0.25,1,6,"female","Other Christian"
202363,85,0,72,1,16,0,0,0,7,"female","Not religious"
202370,60,0,63,1,16,1,0,3,7,"not_female","Mainline Protestant"
202387,70,15,64,1,22,0,0.25,2,6,"female","Evangelical Protestant"
202400,85,0,61,1,1,1,0.25,0,7,"female","Mainline Protestant"
202417,NA,NA,60,3,2,0,0.5,6,2,"not_female","Evangelical Protestant"
202431,15,NA,48,1,9,0,0.75,6,2,"not_female","Evangelical Protestant"
202455,15,85,69,1,15,0,0.5,6,7,"female","Mainline Protestant"
202462,0,100,80,1,NA,1,0,6,4,"female","Jewish"
202479,30,85,77,1,6,1,0,4,1,"female","Evangelical Protestant"
202486,70,0,48,2,15,0,0,1,7,"female","Roman Catholic"
202493,85,0,47,2,4,1,0,0,4,"female","Undifferentiated Protestant"
202509,85,0,43,1,1,1,0,3,4,"not_female","Other Christian"
202516,70,0,71,3,14,1,0,0,6,"female","Roman Catholic"
202523,50,0,31,3,10,1,0.25,1,4,"not_female","Not religious"
202530,100,0,78,1,20,0,0,0,7,"female","Mainline Protestant"
202547,100,0,76,2,22,1,0.25,0,4,"female","Mainline Protestant"
202578,50,10,46,1,1,1,1,4,4,"female","Roman Catholic"
202585,0,75,31,1,15,0,0.25,2,4,"female","Not religious"
202592,50,0,29,2,17,0,0,3,2,"female","Evangelical Protestant"
202608,70,30,69,3,7,0,0.25,0,1,"female","Roman Catholic"
202615,60,0,34,1,10,1,0.25,1,7,"female","Not religious"
202622,0,50,23,1,4,0,0,5,4,"not_female","Not religious"
202639,50,30,61,1,9,0,0,2,1,"not_female","Jewish"
202646,70,0,57,1,21,0,0,0,6,"not_female","Not religious"
202653,0,70,33,1,1,0,0.5,6,3,"female","Evangelical Protestant"
202660,60,60,NA,1,21,1,0.5,4,7,"female","Mainline Protestant"
202677,85,0,71,1,11,1,0,0,7,"not_female","Roman Catholic"
202691,0,100,50,1,19,0,1,6,4,"not_female","Mainline Protestant"
202707,30,70,71,1,16,0,1,3,4,"female","Other Christian"
202714,85,85,70,1,9,0,0.5,3,4,"female","Mainline Protestant"
202721,50,60,22,3,10,0,0,3,4,"not_female","Not religious"
202738,15,60,24,3,17,0,0,4,4,"not_female","Roman Catholic"
202745,60,0,40,2,4,1,0,0,4,"female","Other religion"
202752,75,0,49,1,20,0,0,2,7,"not_female","Not religious"
202769,70,30,56,1,17,1,0.25,0,1,"female","Undifferentiated Protestant"
202783,40,85,59,3,13,0,0.25,4,2,"not_female","Undifferentiated Protestant"
202790,30,100,63,1,19,0,0.75,6,6,"not_female","Mainline Protestant"
202806,95,0,73,1,17,0,0,0,7,"not_female","Not religious"
202813,90,0,56,1,20,0,0,0,4,"female","Mainline Protestant"
202820,40,60,41,1,22,0,0,5,4,"not_female","Mainline Protestant"
202837,50,60,48,1,16,1,0.5,4,6,"female","Not religious"
202875,NA,NA,80,1,22,0,0.5,6,2,"female","Evangelical Protestant"
202882,30,0,36,2,11,1,0,3,7,"female","Not religious"
202899,40,85,64,6,10,1,1,5,4,"female","Mainline Protestant"
202905,0,15,28,1,17,1,0.5,5,4,"not_female","Roman Catholic"
202929,15,0,21,1,1,1,0,2,7,"not_female","Not religious"
202936,40,70,61,1,15,0,0,5,2,"not_female","Not religious"
202943,85,0,65,1,2,1,0,0,7,"not_female","Roman Catholic"
202950,30,70,35,1,10,0,0,6,2,"female","Other Christian"
202967,55,5,31,1,15,0,0.25,2,4,"not_female","Not religious"
202974,50,30,24,6,7,0,0.5,3,1,"female","Undifferentiated Protestant"
202998,20,15,37,1,4,0,0.25,3,2,"female","Other Christian"
203007,0,75,53,1,12,1,1,4,4,"not_female","Mainline Protestant"
203014,85,0,34,1,10,1,0,2,7,"female","Mainline Protestant"
203021,85,0,60,4,10,0,0,2,4,"not_female","Not religious"
203038,85,30,66,1,13,1,0.25,5,4,"not_female","Mainline Protestant"
203045,0,100,70,1,16,0,1,6,4,"not_female","Roman Catholic"
203069,85,0,51,1,18,0,0,1,7,"female","Other Christian"
203090,65,0,44,1,11,0,0.25,0,4,"female","Evangelical Protestant"
203106,85,15,60,2,15,0,0.25,0,7,"female","Undifferentiated Protestant"
203113,0,85,34,5,12,0,0,6,4,"not_female","Other Christian"
203137,15,85,53,1,19,0,0.5,6,4,"not_female","Other Christian"
203144,85,0,37,1,18,0,0.5,0,7,"female","Not religious"
203151,60,0,56,1,12,1,0,3,7,"female","Roman Catholic"
203168,75,15,46,1,7,1,0.25,1,4,"female","Not religious"
203175,70,0,38,4,22,0,0,1,6,"female","Roman Catholic"
203182,100,NA,63,6,15,0,0.5,3,4,"female","Other Christian"
203199,72,18,29,1,3,1,0.5,0,7,"not_female","Not religious"
203205,60,40,41,3,10,0,0.5,1,4,"not_female","Roman Catholic"
203212,40,30,54,1,18,0,0,3,1,"not_female",NA
203229,0,100,79,1,14,0,1,6,1,"female","Other Christian"
203236,0,85,31,1,1,0,0.5,0,7,"female","Evangelical Protestant"
203243,0,100,50,1,21,0,0,6,2,"not_female","Not religious"
203267,100,0,64,1,11,1,0,0,7,"female","Not religious"
203281,60,0,80,1,NA,0,0.25,0,7,"female","Mainline Protestant"
203298,70,0,60,1,17,0,0.25,0,4,"not_female","Not religious"
203304,70,0,28,3,17,0,0.75,0,4,"female","Evangelical Protestant"
203311,100,0,46,3,12,0,0.25,1,4,"female","Not religious"
203328,100,0,66,1,12,0,0,0,7,"female","Mainline Protestant"
203335,NA,NA,63,2,1,0,0.25,5,4,"not_female","Other religion"
203342,NA,NA,38,1,1,0,0.25,3,4,"female","Roman Catholic"
203359,0,100,59,1,5,1,0.5,5,2,"female","Undifferentiated Protestant"
203366,40,30,64,1,16,0,0.25,4,2,"not_female","Not religious"
203380,0,100,72,1,2,0,0.25,6,1,"not_female","Undifferentiated Protestant"
203397,85,0,68,1,1,0,0,2,7,"not_female","Other religion"
203403,15,70,28,1,5,0,0.5,1,6,"female","Other Christian"
203410,85,0,27,1,9,1,0,1,1,"not_female","Not religious"
203427,85,0,62,1,18,0,0,0,7,"female","Not religious"
203434,40,75,70,1,15,0,0.25,5,2,"not_female","Mainline Protestant"
203441,75,0,29,1,8,0,0.25,0,7,"female","Not religious"
203458,100,0,62,2,13,1,0,0,4,"not_female","Not religious"
203472,50,40,60,1,19,1,0.25,3,4,"female","Roman Catholic"
203489,0,85,69,1,17,0,0.5,4,2,"female","Roman Catholic"
203496,100,0,58,1,21,0,0,0,7,NA,"Not religious"
203502,15,85,47,1,14,1,0.25,6,4,"female","Evangelical Protestant"
203519,50,70,53,1,11,0,0.25,6,1,"female","Roman Catholic"
203526,100,0,72,1,9,1,0,2,6,"not_female","Mainline Protestant"
203533,84,0,35,1,4,1,0,0,7,"female","Other religion"
203540,0,85,62,1,6,1,0,6,2,"female","Undifferentiated Protestant"
203557,100,0,73,1,17,0,0.25,0,7,"female","Mainline Protestant"
203564,0,100,28,1,11,0,1,6,7,"not_female","Undifferentiated Protestant"
203588,40,85,57,1,20,1,0.5,5,6,"female","Mainline Protestant"
203595,60,60,29,1,19,0,0,1,4,"not_female","Evangelical Protestant"
203632,20,75,39,1,5,1,0.5,3,6,"not_female","Not religious"
203649,100,0,55,6,15,1,0.25,0,4,"female","Other Christian"
203670,70,0,42,1,3,1,0.25,3,6,"female","Other Christian"
203687,50,85,67,1,13,0,0.75,6,1,"female","Mainline Protestant"
203700,15,85,58,1,22,1,1,4,1,"not_female","Roman Catholic"
203724,15,85,67,1,11,0,0.25,6,1,"not_female","Other Christian"
203731,0,100,58,1,NA,0,0.75,6,3,"female","Evangelical Protestant"
203762,90,0,25,1,13,0,0,1,6,"not_female","Evangelical Protestant"
203779,60,15,73,2,6,1,0.25,1,7,"female","Other religion"
203786,15,0,30,2,10,0,0,1,7,"female","Evangelical Protestant"
203793,15,100,38,1,15,1,0.25,6,1,"not_female","Mainline Protestant"
203816,NA,NA,64,1,17,1,0.25,6,1,"female","Undifferentiated Protestant"
203823,70,0,40,1,18,0,0,1,7,"female","Not religious"
203830,30,60,NA,1,1,1,0.25,3,4,"female","Evangelical Protestant"
203854,0,50,51,1,19,0,0,4,1,"not_female","Undifferentiated Protestant"
203878,50,50,61,1,2,1,0.5,3,4,"not_female","Evangelical Protestant"
203946,70,0,59,2,20,0,0,0,4,"not_female","Mainline Protestant"
203953,90,0,58,3,7,0,0,2,4,"female","Mainline Protestant"
203960,30,68,53,5,10,1,1,3,1,"not_female","Roman Catholic"
203977,100,0,75,1,1,1,0,0,1,"female","Mainline Protestant"
203984,70,15,37,1,19,1,0.25,1,7,"female","Mainline Protestant"
204000,85,70,77,1,5,0,1,4,2,"not_female","Mainline Protestant"
204017,50,50,NA,1,1,1,0.25,3,4,"female","Other Christian"
204031,0,85,68,1,16,0,1,4,1,"female","Roman Catholic"
204048,50,85,66,1,12,1,0.5,1,4,"not_female","Roman Catholic"
204055,60,30,43,2,2,1,0,3,4,"female","Other Christian"
204062,60,50,72,1,20,0,0.5,4,7,"not_female",NA
204086,15,40,50,1,22,1,0,5,7,"female","Roman Catholic"
204109,60,0,58,1,6,1,0.25,0,7,"female","Jewish"
204116,40,15,28,1,11,0,0,1,6,"not_female","Evangelical Protestant"
204123,70,30,59,1,10,0,0.75,2,2,"female","Roman Catholic"
204130,0,100,72,1,20,0,1,6,1,"female","Roman Catholic"
204147,65,0,29,1,2,0,0,2,7,"female","Undifferentiated Protestant"
204154,85,0,60,3,15,0,0.5,0,6,"not_female","Jewish"
204161,60,0,66,1,13,0,0.75,2,6,"not_female","Evangelical Protestant"
204178,60,0,56,1,10,1,0,0,4,"not_female","Undifferentiated Protestant"
204185,15,85,40,6,21,1,0,6,4,"not_female","Other Christian"
204192,40,90,45,1,1,0,0.25,5,6,"female","Jewish"
204208,50,60,51,1,15,0,0.25,4,4,"female","Mainline Protestant"
204222,85,0,68,1,10,1,0,0,7,"female","Not religious"
204246,35,70,22,1,21,0,1,5,5,"not_female","Roman Catholic"
204253,0,85,40,1,1,0,0,6,1,"female","Undifferentiated Protestant"
204260,70,0,63,1,7,1,0,2,7,"female","Mainline Protestant"
204277,70,0,59,1,NA,1,0,0,6,"female","Other Christian"
204284,97,3,53,3,6,1,0,0,1,"female","Other Christian"
204291,NA,NA,80,1,5,0,0.25,0,4,"not_female","Not religious"
204307,0,85,67,1,18,0,0.5,6,1,"female","Roman Catholic"
204321,50,85,35,1,18,0,1,3,4,"not_female","Roman Catholic"
204338,60,0,69,1,10,0,0,1,6,"not_female","Not religious"
204345,100,0,80,1,14,1,0.5,0,4,"female","Evangelical Protestant"
204352,15,80,62,1,20,0,0,6,4,"not_female","Other Christian"
204369,0,70,38,1,4,0,0.5,6,1,"female","Other Christian"
204376,15,50,71,1,17,0,0,6,3,"female","Undifferentiated Protestant"
204383,30,70,80,1,14,0,0.75,6,4,"not_female","Mainline Protestant"
204390,70,0,61,1,22,0,0,1,7,"female","Jewish"
204413,0,100,65,1,19,1,0.5,6,1,"not_female","Other Christian"
204420,30,15,30,1,1,1,0.25,3,4,"not_female","Not religious"
204437,50,60,38,6,1,1,0,6,4,"female","Other Christian"
204468,40,60,80,1,NA,0,1,4,NA,"female","Roman Catholic"
204475,85,0,80,1,18,0,0,1,7,"not_female","Not religious"
204482,0,85,NA,1,NA,0,0.5,5,1,"female","Roman Catholic"
204505,30,50,65,1,10,1,0.25,4,4,"female","Mainline Protestant"
204512,70,0,48,1,14,1,0,1,7,"not_female","Not religious"
204529,60,0,38,1,18,0,0,0,7,"female","Not religious"
204536,50,15,NA,1,22,0,0.25,4,4,"not_female","Not religious"
204543,85,15,67,1,20,0,0,1,7,"female","Mainline Protestant"
204550,100,0,80,2,14,0,0,2,1,"female","Roman Catholic"
204567,60,0,33,1,11,1,0,2,4,"female","Not religious"
204574,0,100,76,1,11,0,0.5,6,4,"female","Mainline Protestant"
204581,70,0,43,2,2,0,0.5,0,6,"female","Other Christian"
204598,60,0,32,2,1,1,0,0,7,"female","Other Christian"
204604,10,95,41,1,11,0,0.5,5,4,"female","Roman Catholic"
204611,0,85,80,1,18,1,0.5,4,1,"not_female","Roman Catholic"
204628,85,15,45,2,15,1,0,0,7,"female","Evangelical Protestant"
204642,100,0,56,1,21,0,0,0,7,"female","Not religious"
204697,35,70,68,1,7,0,0,4,6,"not_female",NA
204703,70,15,73,1,18,0,0,5,6,"not_female","Not religious"
204710,70,0,69,1,6,0,0,3,4,"female","Undifferentiated Protestant"
204727,70,0,73,1,10,0,0,0,7,"female","Not religious"
204734,NA,100,43,1,1,0,1,6,2,"not_female","Not religious"
204741,50,50,48,3,4,1,0.5,3,6,"not_female","Other Christian"
204758,30,85,62,5,22,1,0,3,6,"female","Roman Catholic"
204765,60,20,41,1,22,1,0.25,1,4,"not_female","Mainline Protestant"
204772,70,0,20,3,6,1,0,0,2,"not_female","Other Christian"
204789,60,70,63,1,2,1,0,6,7,"female","Evangelical Protestant"
204796,70,15,34,1,16,0,0.25,1,4,"female","Roman Catholic"
204802,NA,NA,80,4,6,0,0.25,1,NA,"female","Not religious"
204819,40,85,76,1,5,1,0,6,4,"not_female","Evangelical Protestant"
204833,30,70,44,1,20,0,1,6,1,"not_female","Mainline Protestant"
204840,60,0,51,6,11,1,0,2,7,"female","Other religion"
204857,100,0,69,1,7,0,0,0,7,"female","Roman Catholic"
204864,0,100,27,1,13,0,0.5,6,4,"not_female","Mainline Protestant"
204871,50,60,48,1,15,0,0.25,6,1,"female","Evangelical Protestant"
204888,85,0,74,1,2,1,0,2,7,"female","Not religious"
204895,70,0,72,1,20,1,0,3,7,"female","Not religious"
204901,15,70,60,1,10,1,1,6,1,"female","Mainline Protestant"
204918,70,0,32,1,18,1,0,0,6,"not_female","Not religious"
204925,15,30,70,1,1,1,0.5,6,4,"female","Roman Catholic"
204932,40,70,50,1,21,0,0.75,4,2,"not_female","Mainline Protestant"
204949,70,0,59,1,11,0,0.25,0,4,"not_female","Roman Catholic"
204963,85,0,52,1,22,1,0,3,7,"not_female","Other religion"
204970,80,85,67,1,22,1,0.5,5,4,"female","Mainline Protestant"
204987,15,85,60,1,21,0,0.5,4,1,"female","Roman Catholic"
204994,55,15,24,1,22,0,0.25,1,4,"not_female","Not religious"
205003,55,60,31,3,15,1,0.25,6,4,"not_female","Not religious"
205010,0,85,39,1,15,1,0.5,6,1,"not_female","Evangelical Protestant"
205034,60,0,73,4,5,0,0,2,6,"not_female","Other religion"
205041,85,0,43,6,6,0,0,0,4,"female","Other Christian"
205058,90,0,28,1,21,0,0,5,4,"not_female","Not religious"
205065,90,0,70,1,21,0,0,2,7,"not_female","Mainline Protestant"
205072,70,0,72,1,8,0,0,0,4,"not_female","Other Christian"
205089,85,0,59,3,21,0,0,1,7,"not_female","Roman Catholic"
205096,30,40,35,1,6,1,0.25,3,4,"not_female","Not religious"
205102,0,100,26,1,6,0,0.5,6,2,"female","Other Christian"
205119,100,0,80,1,4,0,0,0,6,"female","Roman Catholic"
205133,70,0,76,1,1,0,0,2,7,"female","Not religious"
205140,80,0,31,1,4,0,0.25,2,7,"not_female","Evangelical Protestant"
205157,30,60,24,3,10,0,0,3,7,"not_female","Not religious"
205171,70,0,53,1,10,1,0,0,6,"not_female","Mainline Protestant"
205188,100,0,55,2,15,1,0.25,0,6,"female","Evangelical Protestant"
205195,70,0,39,4,19,1,0.25,0,7,"female","Not religious"
205201,85,30,32,5,19,0,0,1,4,"not_female","Roman Catholic"
205218,0,100,80,1,2,1,0,4,2,"female","Roman Catholic"
205249,70,0,45,3,10,0,0,1,7,"not_female","Roman Catholic"
205256,0,100,40,1,5,1,1,6,6,"not_female","Not religious"
205263,0,0,64,1,1,1,0,3,4,"not_female",NA
